시,구,동,인구수
서울특별시,강남구,신사동,0
서울특별시,강남구,논현동,0
서울특별시,강남구,압구정동,1
서울특별시,강남구,청담동,1
서울특별시,강남구,삼성동,2
서울특별시,강남구,대치동,6
서울특별시,강남구,역삼동,0
서울특별시,강남구,도곡동,1
서울특별시,강남구,개포동,0
서울특별시,강남구,세곡동,1
서울특별시,강남구,일원동,0
서울특별시,강남구,수서동,0
서울특별시,강동구,강일동,0
서울특별시,강동구,상일동,5
서울특별시,강동구,명일동,2
서울특별시,강동구,고덕동,2
서울특별시,강동구,암사동,1
서울특별시,강동구,천호동,1
서울특별시,강동구,성내동,0
서울특별시,강동구,길동,0
서울특별시,강동구,둔촌동,0
서울특별시,강북구,삼양동,2
서울특별시,강북구,미아동,0
서울특별시,강북구,송중동,0
서울특별시,강북구,송천동,0
서울특별시,강북구,삼각산동,0
서울특별시,강북구,번동,0
서울특별시,강북구,수유동,0
서울특별시,강북구,우이동,0
서울특별시,강북구,인수동,0
서울특별시,강서구,염창동,1
서울특별시,강서구,등촌동,0
서울특별시,강서구,화곡동,1
서울특별시,강서구,가양동,0
서울특별시,강서구,발산동,4
서울특별시,강서구,우장산동,0
서울특별시,강서구,공항동,1
서울특별시,강서구,방화동,1
서울특별시,관악구,보라매동,0
서울특별시,관악구,청림동,0
서울특별시,관악구,성현동,2
서울특별시,관악구,행운동,0
서울특별시,관악구,낙성대동,0
서울특별시,관악구,청룡동,0
서울특별시,관악구,은천동,1
서울특별시,관악구,중앙동,0
서울특별시,관악구,인헌동,0
서울특별시,관악구,남현동,0
서울특별시,관악구,서원동,0
서울특별시,관악구,신원동,0
서울특별시,관악구,서림동,0
서울특별시,관악구,신사동,0
서울특별시,관악구,신림동,0
서울특별시,관악구,난향동,0
서울특별시,관악구,조원동,0
서울특별시,관악구,대학동,0
서울특별시,관악구,삼성동,2
서울특별시,관악구,미성동,0
서울특별시,관악구,난곡동,0
서울특별시,광진구,화양동,0
서울특별시,광진구,군자동,0
서울특별시,광진구,중곡동,0
서울특별시,광진구,능동,0
서울특별시,광진구,광장동,2
서울특별시,광진구,자양동,1
서울특별시,광진구,구의동,0
서울특별시,구로구,신도림동,0
서울특별시,구로구,구로동,1
서울특별시,구로구,가리봉동,0
서울특별시,구로구,고척동,1
서울특별시,구로구,개봉동,0
서울특별시,구로구,오류동,0
서울특별시,구로구,수궁동,0
서울특별시,구로구,항동,0
서울특별시,금천구,가산동,0
서울특별시,금천구,독산동,0
서울특별시,금천구,시흥동,0
서울특별시,노원구,월계동,0
서울특별시,노원구,공릉동,2
서울특별시,노원구,하계동,2
서울특별시,노원구,중계동,1
서울특별시,노원구,상계동,1
서울특별시,도봉구,창제동,0
서울특별시,도봉구,도봉동,0
서울특별시,도봉구,쌍문동,0
서울특별시,도봉구,방학동,0
서울특별시,도봉구,창동,0
서울특별시,동대문구,신설동,0
서울특별시,동대문구,용두동,0
서울특별시,동대문구,제기동,0
서울특별시,동대문구,전농동,1
서울특별시,동대문구,답십리동,0
서울특별시,동대문구,장안동,0
서울특별시,동대문구,청량리동,0
서울특별시,동대문구,회기동,0
서울특별시,동대문구,휘경동,0
서울특별시,동대문구,이문동,0
서울특별시,동작구,노량진동,0
서울특별시,동작구,상도동,1
서울특별시,동작구,흑석동,0
서울특별시,동작구,사당동,1
서울특별시,동작구,대방동,3
서울특별시,동작구,신대방동,0
서울특별시,마포구,아현동,0
서울특별시,마포구,공덕동,0
서울특별시,마포구,도화동,1
서울특별시,마포구,용강동,0
서울특별시,마포구,대흥동,2
서울특별시,마포구,염리동,0
서울특별시,마포구,신수동,0
서울특별시,마포구,서강동,0
서울특별시,마포구,서교동,0
서울특별시,마포구,합정동,0
서울특별시,마포구,망원동,0
서울특별시,마포구,연남동,0
서울특별시,마포구,성산동,0
서울특별시,마포구,상암동,0
서울특별시,서대문구,천연동,1
서울특별시,서대문구,북아현동,0
서울특별시,서대문구,충현동,0
서울특별시,서대문구,신촌동,0
서울특별시,서대문구,연희동,0
서울특별시,서대문구,홍제동,0
서울특별시,서대문구,홍은동,1
서울특별시,서대문구,남가좌동,4
서울특별시,서대문구,북가좌동,0
서울특별시,서초구,서초동,2
서울특별시,서초구,잠원동,0
서울특별시,서초구,반포동,0
서울특별시,서초구,방배동,1
서울특별시,서초구,양재동,0
서울특별시,서초구,내곡동,1
서울특별시,성동구,왕십리동,0
서울특별시,성동구,마장동,0
서울특별시,성동구,사근동,0
서울특별시,성동구,행당동,1
서울특별시,성동구,응봉동,0
서울특별시,성동구,금호동,0
서울특별시,성동구,옥수동,0
서울특별시,성동구,성수동,0
서울특별시,성동구,송정동,0
서울특별시,성동구,용답동,0
서울특별시,성북구,성북동,0
서울특별시,성북구,삼선동,0
서울특별시,성북구,동선동,0
서울특별시,성북구,돈암동,2
서울특별시,성북구,안암동,0
서울특별시,성북구,보문동,0
서울특별시,성북구,정릉동,1
서울특별시,성북구,길음동,1
서울특별시,성북구,종암동,1
서울특별시,성북구,월곡동,1
서울특별시,성북구,장위동,1
서울특별시,성북구,석관동,0
서울특별시,송파구,풍납동,0
서울특별시,송파구,거여동,0
서울특별시,송파구,마천동,0
서울특별시,송파구,방이동,0
서울특별시,송파구,오륜동,0
서울특별시,송파구,오금동,0
서울특별시,송파구,송파동,0
서울특별시,송파구,석촌동,0
서울특별시,송파구,삼전동,0
서울특별시,송파구,가락동,1
서울특별시,송파구,문정동,0
서울특별시,송파구,장지동,0
서울특별시,송파구,위례동,1
서울특별시,송파구,잠실동,9
서울특별시,양천구,목동,9
서울특별시,양천구,신월동,1
서울특별시,양천구,신정동,10
서울특별시,영등포구,영등포동,0
서울특별시,영등포구,여의동,2
서울특별시,영등포구,당산동,0
서울특별시,영등포구,도림동,0
서울특별시,영등포구,문래동,1
서울특별시,영등포구,양평동,0
서울특별시,영등포구,신길동,0
서울특별시,영등포구,대림동,0
서울특별시,용산구,후암동,0
서울특별시,용산구,용산동,0
서울특별시,용산구,남영동,0
서울특별시,용산구,청파동,0
서울특별시,용산구,원효로동,0
서울특별시,용산구,효창동,0
서울특별시,용산구,용문동,0
서울특별시,용산구,한강로동,1
서울특별시,용산구,이촌동,2
서울특별시,용산구,이태원동,0
서울특별시,용산구,한남동,0
서울특별시,용산구,서빙고동,0
서울특별시,용산구,보광동,0
서울특별시,은평구,녹번동,0
서울특별시,은평구,불광동,0
서울특별시,은평구,갈현동,1
